doc_id,file_path,title,source_url,retrieved_at,document_version,audience,policy_type,seller_type,product_scope,license_or_permission
warranty-general-buyer,data/shopee/warranty-general-buyer.md,Quyền và điều kiện bảo hành dành cho Người Mua,https://help.shopee.vn/portal/4/article/77245,2026-09-20,2025-01-03,buyer,warranty,general,general,public-source
warranty-general-seller,data/shopee/warranty-general-seller.md,Trách nhiệm bảo hành dành cho Người Bán,https://help.shopee.vn/portal/4/article/77245,2026-09-20,2025-01-03,seller,warranty,general,general,public-source
shopee-mall-buyer,data/shopee/shopee-mall-buyer.md,Quyền bảo hành và hậu mãi của Người Mua tại Shopee Mall,https://help.shopee.vn/portal/4/article/77262,2026-09-20,2026-05-08,buyer,warranty,mall,general,public-source
shopee-mall-seller,data/shopee/shopee-mall-seller.md,Trách nhiệm bảo hành của Người Bán tại Shopee Mall,https://help.shopee.vn/portal/4/article/77262,2026-09-20,2026-05-08,seller,warranty,mall,general,public-source
return-refund-policy,data/shopee/return-refund-policy.md,Chính sách trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/77251,2026-09-20,not-stated,all,return_refund,all,general,public-source
return-refund-guide,data/shopee/return-refund-guide.md,Hướng dẫn gửi yêu cầu trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/79233,2026-09-20,not-stated,buyer,return_refund_guide,all,general,public-source
dispute-resolution,data/shopee/dispute-resolution.md,Quy trình giải quyết tranh chấp và xử lý khiếu nại,https://help.shopee.vn/portal/4/article/77265,2026-09-20,not-stated,all,dispute,all,general,public-source
extended-warranty-insurance,data/shopee/extended-warranty-insurance.md,Quyền lợi bảo hiểm bảo hành mở rộng,https://help.shopee.vn/portal/4/article/79229,2026-09-20,not-stated,buyer,extended_warranty,all,electronics,public-source
insurance-activation,data/shopee/insurance-activation.md,Hướng dẫn kích hoạt gói bảo hiểm bảo hành,https://help.shopee.vn/portal/4/article/79230,2026-09-20,not-stated,buyer,insurance_guide,all,electronics,public-source
